epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.617,1.36272,4.20937,1.23936,0.18558,0.15084,0.05775,0.04022,1.2982,3.17031,1.16241,0.000151215,0.000151215,0.000151215
2,171.896,1.34732,3.35467,1.22168,0.22835,0.19496,0.09436,0.06351,1.32974,2.75496,1.19292,0.000299883,0.000299883,0.000299883
3,263.782,1.37618,3.07238,1.23574,0.24758,0.18379,0.09517,0.06446,1.33226,2.86426,1.20199,0.000445549,0.000445549,0.000445549
4,351.177,1.33204,2.82553,1.22338,0.24927,0.198,0.12111,0.08534,1.30906,2.90652,1.18344,0.000441486,0.000441486,0.000441486
5,436.236,1.31996,2.61469,1.218,0.30674,0.24245,0.17194,0.1192,1.26693,2.54946,1.14823,0.000436982,0.000436982,0.000436982
6,520.757,1.30819,2.46704,1.20369,0.32953,0.25341,0.1956,0.13894,1.23032,2.39281,1.13425,0.000432478,0.000432478,0.000432478
7,599.757,1.27929,2.33964,1.18303,0.33084,0.27229,0.21488,0.15345,1.26044,2.30455,1.16364,0.000427973,0.000427973,0.000427973
8,678.946,1.27511,2.23436,1.18167,0.45921,0.25224,0.24277,0.17508,1.27555,2.38243,1.13834,0.000423468,0.000423468,0.000423468
9,756.123,1.25316,2.14538,1.16811,0.43639,0.26071,0.24379,0.17633,1.22999,2.20146,1.12508,0.000418964,0.000418964,0.000418964
10,830.719,1.23059,2.04951,1.1574,0.4527,0.30016,0.27113,0.19688,1.22573,2.11528,1.11736,0.00041446,0.00041446,0.00041446
11,914.41,1.23251,2.00878,1.16056,0.37796,0.27553,0.25964,0.18971,1.21022,2.11653,1.12162,0.000409955,0.000409955,0.000409955
12,996.976,1.20729,1.92091,1.15069,0.44349,0.30079,0.29397,0.21905,1.1742,2.0242,1.10586,0.000405451,0.000405451,0.000405451
13,1086.59,1.2061,1.8431,1.14634,0.46066,0.32157,0.31641,0.2328,1.1801,2.01301,1.10469,0.000400946,0.000400946,0.000400946
14,1171.21,1.17901,1.78061,1.13314,0.49759,0.32092,0.33278,0.24925,1.16768,1.93515,1.09448,0.000396441,0.000396441,0.000396441
15,1254.45,1.16281,1.70896,1.12941,0.51231,0.32936,0.34259,0.25261,1.18014,1.92186,1.12129,0.000391937,0.000391937,0.000391937
16,1338,1.17329,1.68059,1.12086,0.5297,0.33387,0.35545,0.26113,1.16914,1.89189,1.10722,0.000387433,0.000387433,0.000387433
17,1421.43,1.15546,1.6082,1.11113,0.5372,0.33596,0.37619,0.2776,1.15103,1.86029,1.09494,0.000382928,0.000382928,0.000382928
18,1509.8,1.14492,1.55647,1.10904,0.53598,0.3608,0.38672,0.28594,1.15837,1.87186,1.10091,0.000378423,0.000378423,0.000378423
19,1600.91,1.1425,1.52643,1.10982,0.61987,0.35907,0.40407,0.29929,1.12289,1.71377,1.08339,0.000373919,0.000373919,0.000373919
20,1687.35,1.12693,1.45896,1.0999,0.59779,0.38746,0.42728,0.32223,1.1091,1.65583,1.07442,0.000369415,0.000369415,0.000369415
21,1782.72,1.13508,1.43537,1.10316,0.57845,0.40874,0.44231,0.33484,1.1451,1.62375,1.07218,0.00036491,0.00036491,0.00036491
22,1879.42,1.10976,1.37524,1.08623,0.6515,0.40461,0.457,0.34253,1.1239,1.56951,1.07063,0.000360406,0.000360406,0.000360406
