epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,202.633,1.35078,2.11583,1.23238,0.58751,0.40833,0.4245,0.24393,1.38379,1.61916,1.16426,0.00332583,0.00332583,0.00332583
2,380.404,1.41449,1.60341,1.25211,0.53812,0.30192,0.31965,0.16487,1.75783,2.0342,1.526,0.00659323,0.00659323,0.00659323
3,547.842,1.55556,1.70679,1.33967,0.40847,0.27959,0.24812,0.13354,1.76172,2.25492,1.44265,0.00979464,0.00979464,0.00979464
4,715,1.67335,1.81933,1.4262,0.46758,0.34175,0.33073,0.16967,1.67904,1.78917,1.37609,0.009703,0.009703,0.009703
5,889.107,1.59578,1.68855,1.38659,0.47353,0.29732,0.28994,0.14834,1.76764,1.80845,1.48313,0.009604,0.009604,0.009604
6,1062.51,1.55064,1.60443,1.35594,0.52403,0.36678,0.38217,0.20618,1.55133,1.60866,1.33236,0.009505,0.009505,0.009505
7,1225.93,1.52463,1.55698,1.33278,0.56558,0.37924,0.40377,0.2214,1.54373,1.5531,1.30028,0.009406,0.009406,0.009406
8,1383.43,1.4929,1.52116,1.32025,0.58318,0.38972,0.41125,0.23244,1.51983,1.43284,1.29629,0.009307,0.009307,0.009307
9,1549.75,1.46825,1.47857,1.31313,0.63603,0.37937,0.42807,0.24617,1.42506,1.38348,1.23011,0.009208,0.009208,0.009208
10,1714.97,1.45999,1.44493,1.29836,0.58114,0.3769,0.40314,0.23664,1.44405,1.447,1.23786,0.009109,0.009109,0.009109
11,1877.96,1.44765,1.42022,1.29145,0.59739,0.37195,0.40994,0.23833,1.45619,1.41589,1.24533,0.00901,0.00901,0.00901
12,2040.01,1.44457,1.39433,1.28773,0.60478,0.40846,0.44509,0.26307,1.43214,1.29442,1.22383,0.008911,0.008911,0.008911
13,2207.6,1.41378,1.37866,1.27316,0.64206,0.42445,0.47549,0.27785,1.38552,1.24476,1.18715,0.008812,0.008812,0.008812
14,2375.54,1.41371,1.35826,1.26754,0.65155,0.41047,0.46233,0.27906,1.36166,1.23534,1.1931,0.008713,0.008713,0.008713
15,2531.39,1.38266,1.3216,1.25761,0.65617,0.43001,0.48278,0.2934,1.33714,1.19568,1.1597,0.008614,0.008614,0.008614
16,2689.17,1.38305,1.31969,1.25686,0.66615,0.42896,0.48524,0.29414,1.33914,1.19187,1.16998,0.008515,0.008515,0.008515
17,2864.89,1.37606,1.29955,1.24398,0.66785,0.44417,0.49804,0.30202,1.32746,1.16115,1.1532,0.008416,0.008416,0.008416
18,3033.11,1.37421,1.28573,1.24251,0.66734,0.42734,0.48358,0.29087,1.33358,1.18985,1.14714,0.008317,0.008317,0.008317
19,3199.21,1.36418,1.28704,1.24089,0.69441,0.42918,0.49799,0.29919,1.32381,1.15744,1.14958,0.008218,0.008218,0.008218
20,3356.78,1.34598,1.2597,1.23403,0.67418,0.43443,0.49642,0.3029,1.29915,1.14576,1.14365,0.008119,0.008119,0.008119
21,3516.82,1.33997,1.25219,1.22497,0.66626,0.44915,0.50347,0.30676,1.29766,1.13675,1.14218,0.00802,0.00802,0.00802
22,3702.54,1.33507,1.24631,1.22484,0.66653,0.45122,0.51069,0.31288,1.28224,1.11394,1.12913,0.007921,0.007921,0.007921
23,3882.5,1.32473,1.23096,1.21545,0.68642,0.44329,0.51081,0.31448,1.2916,1.11912,1.12749,0.007822,0.007822,0.007822
24,4046.4,1.31993,1.21436,1.21396,0.68175,0.45457,0.51558,0.32028,1.26675,1.08725,1.12139,0.007723,0.007723,0.007723
25,4205.37,1.32759,1.21948,1.21566,0.69804,0.44828,0.51739,0.31995,1.26291,1.092,1.12024,0.007624,0.007624,0.007624
26,4359.35,1.31092,1.20702,1.21261,0.68452,0.45917,0.5235,0.32635,1.2475,1.07088,1.10629,0.007525,0.007525,0.007525
27,4514.43,1.31117,1.20183,1.20599,0.69315,0.46389,0.5274,0.32651,1.24625,1.05983,1.10387,0.007426,0.007426,0.007426
28,4696.66,1.2975,1.19069,1.20443,0.709,0.46104,0.53227,0.33094,1.23913,1.04731,1.10388,0.007327,0.007327,0.007327
29,4869.95,1.29952,1.1849,1.2016,0.69617,0.46887,0.53474,0.33447,1.24081,1.0429,1.10429,0.007228,0.007228,0.007228
30,5044.51,1.30337,1.18549,1.19816,0.69429,0.47233,0.53561,0.33486,1.2351,1.03966,1.0973,0.007129,0.007129,0.007129
31,5215.34,1.27979,1.17833,1.19247,0.70746,0.48223,0.55063,0.34354,1.22173,1.0177,1.09502,0.00703,0.00703,0.00703
32,5386.16,1.28467,1.15793,1.1872,0.69974,0.4776,0.54781,0.34383,1.21711,1.01554,1.08721,0.006931,0.006931,0.006931
33,5559,1.27355,1.15746,1.18966,0.71456,0.47661,0.55042,0.34446,1.21691,1.01438,1.09051,0.006832,0.006832,0.006832
34,5722.82,1.27932,1.15471,1.18638,0.70778,0.47497,0.54444,0.34304,1.20905,1.00766,1.08218,0.006733,0.006733,0.006733
35,5890.72,1.28339,1.14956,1.18644,0.72163,0.47864,0.55383,0.34755,1.20726,0.99776,1.086,0.006634,0.006634,0.006634
36,6067.36,1.27855,1.13239,1.18343,0.72011,0.4798,0.55555,0.34944,1.20691,0.99015,1.08164,0.006535,0.006535,0.006535
37,6245.49,1.25984,1.13528,1.18253,0.71161,0.48587,0.55794,0.35145,1.2014,0.98755,1.07761,0.006436,0.006436,0.006436
38,6425.41,1.25754,1.12161,1.17411,0.71558,0.4806,0.55548,0.35103,1.19383,0.98904,1.07716,0.006337,0.006337,0.006337
39,6599.04,1.24697,1.10807,1.17036,0.72034,0.48432,0.55959,0.35278,1.19873,0.98055,1.07729,0.006238,0.006238,0.006238
40,6780.3,1.25675,1.1133,1.17761,0.72321,0.48728,0.55959,0.35511,1.19347,0.97479,1.07609,0.006139,0.006139,0.006139
41,6956.08,1.24691,1.0966,1.16777,0.72813,0.48203,0.56219,0.35649,1.17973,0.96622,1.06842,0.00604,0.00604,0.00604
1,171.376,1.4007,2.28127,1.29233,0.60751,0.43841,0.45439,0.25415,1.36111,1.60661,1.1693,0.00332616,0.00332616,0.00332616
2,326.46,1.46532,1.70489,1.29736,0.60457,0.45809,0.48077,0.27626,1.33075,1.53461,1.15448,0.00659357,0.00659357,0.00659357
3,475.544,1.53391,1.6363,1.33486,0.61488,0.43625,0.46493,0.25101,1.52005,1.60679,1.29325,0.00979497,0.00979497,0.00979497
4,641.121,1.56284,1.59408,1.3645,0.62372,0.45376,0.48708,0.28003,1.45202,1.32782,1.23894,0.009703,0.009703,0.009703
5,798.484,1.52194,1.51054,1.32858,0.66538,0.45057,0.50946,0.30454,1.37153,1.26524,1.18409,0.009604,0.009604,0.009604
6,953.989,1.4877,1.45787,1.31384,0.65815,0.46713,0.51951,0.30543,1.35484,1.28599,1.1796,0.009505,0.009505,0.009505
7,1107.63,1.45028,1.39828,1.29349,0.69132,0.46894,0.52989,0.31902,1.33044,1.2121,1.16243,0.009406,0.009406,0.009406
8,1261.4,1.43885,1.3693,1.27972,0.65346,0.47642,0.53113,0.3213,1.30473,1.20134,1.15053,0.009307,0.009307,0.009307
9,1410.76,1.41574,1.34823,1.27162,0.6659,0.48116,0.52899,0.32341,1.31751,1.14632,1.15071,0.009208,0.009208,0.009208
10,1560.58,1.40863,1.33277,1.26202,0.67913,0.4969,0.55075,0.33421,1.30101,1.11898,1.13918,0.009109,0.009109,0.009109
11,1700.95,1.38753,1.30713,1.25044,0.6999,0.49582,0.55024,0.33369,1.2984,1.11572,1.13569,0.00901,0.00901,0.00901
12,1841.03,1.37156,1.28986,1.2413,0.68783,0.49743,0.54696,0.33659,1.27656,1.08832,1.1187,0.008911,0.008911,0.008911
13,1980.96,1.35431,1.2689,1.2334,0.69018,0.5011,0.56082,0.34674,1.25751,1.07308,1.10585,0.008812,0.008812,0.008812
14,2118.23,1.35755,1.26076,1.23198,0.7069,0.49755,0.56312,0.3478,1.2614,1.06352,1.10477,0.008713,0.008713,0.008713
15,2257.98,1.35015,1.2528,1.22553,0.71399,0.50298,0.56463,0.35018,1.24033,1.06413,1.10929,0.008614,0.008614,0.008614
16,2401.2,1.34813,1.24363,1.22285,0.69281,0.50146,0.56316,0.35217,1.24004,1.03488,1.08949,0.008515,0.008515,0.008515
17,2543.15,1.33721,1.24086,1.21858,0.70516,0.51239,0.57019,0.35411,1.24429,1.03459,1.09724,0.008416,0.008416,0.008416
18,2688.56,1.32718,1.22614,1.21658,0.72459,0.50346,0.56952,0.35613,1.22492,1.01925,1.08721,0.008317,0.008317,0.008317
19,2826.87,1.32616,1.21486,1.21132,0.71958,0.5088,0.57344,0.3599,1.22795,1.01984,1.0829,0.008218,0.008218,0.008218
20,2964.61,1.31538,1.20872,1.20523,0.7233,0.51194,0.57475,0.36157,1.21328,1.02057,1.08617,0.008119,0.008119,0.008119
21,3104.5,1.30647,1.20107,1.20347,0.71816,0.51081,0.57455,0.363,1.21982,1.00066,1.07998,0.00802,0.00802,0.00802
22,3245.85,1.31489,1.19936,1.2023,0.72738,0.51034,0.57851,0.36347,1.21062,1.00423,1.08335,0.007921,0.007921,0.007921
23,3384.52,1.29823,1.19139,1.19627,0.7166,0.51255,0.57498,0.36356,1.21351,0.99565,1.0818,0.007822,0.007822,0.007822
24,3524.79,1.30705,1.1904,1.20108,0.70719,0.51682,0.57843,0.36684,1.20713,0.99286,1.07566,0.007723,0.007723,0.007723
25,3664.01,1.28235,1.16914,1.18787,0.7228,0.51714,0.58266,0.36986,1.1993,0.98095,1.06843,0.007624,0.007624,0.007624
26,3803.31,1.29721,1.16594,1.18721,0.70857,0.51985,0.57872,0.369,1.19872,0.98342,1.07038,0.007525,0.007525,0.007525
27,3945.29,1.29239,1.16759,1.19067,0.72638,0.5211,0.58552,0.37299,1.19791,0.96323,1.07113,0.007426,0.007426,0.007426
28,4083.31,1.27023,1.15127,1.17949,0.73674,0.51475,0.58734,0.37627,1.17584,0.96142,1.061,0.007327,0.007327,0.007327
29,4224.03,1.28983,1.16833,1.18414,0.7247,0.51346,0.58454,0.37539,1.18164,0.96267,1.05961,0.007228,0.007228,0.007228
30,4363.69,1.27064,1.14572,1.18059,0.73105,0.52157,0.58959,0.37664,1.17787,0.95951,1.05746,0.007129,0.007129,0.007129
31,4501.61,1.2843,1.15076,1.183,0.7457,0.52086,0.59209,0.37868,1.17718,0.95076,1.05467,0.00703,0.00703,0.00703
32,4639.89,1.28156,1.14644,1.18121,0.74169,0.52219,0.59396,0.38052,1.17761,0.94208,1.05695,0.006931,0.006931,0.006931
33,4780.89,1.27951,1.1471,1.17929,0.74194,0.52621,0.5987,0.38159,1.1817,0.93537,1.05728,0.006832,0.006832,0.006832
34,4920.4,1.27217,1.13212,1.17324,0.7555,0.52196,0.59717,0.38207,1.17712,0.94049,1.05741,0.006733,0.006733,0.006733
35,5060.12,1.26628,1.13071,1.17135,0.74575,0.52374,0.59818,0.38428,1.16688,0.93336,1.05135,0.006634,0.006634,0.006634
36,5198.93,1.25386,1.12623,1.16995,0.74292,0.53497,0.60425,0.38768,1.16417,0.92239,1.0504,0.006535,0.006535,0.006535
37,5340.4,1.26324,1.12944,1.17133,0.74661,0.52656,0.59865,0.38409,1.16215,0.92857,1.05066,0.006436,0.006436,0.006436
38,5479.25,1.24907,1.11122,1.16449,0.75304,0.52727,0.59992,0.3846,1.16192,0.92427,1.04914,0.006337,0.006337,0.006337
39,5618.08,1.2602,1.11731,1.16778,0.7516,0.52725,0.60229,0.38729,1.15484,0.92026,1.04267,0.006238,0.006238,0.006238
40,5755.94,1.24763,1.10913,1.16415,0.74392,0.52648,0.60188,0.38828,1.15355,0.91335,1.04274,0.006139,0.006139,0.006139
41,5897.62,1.25679,1.10939,1.16477,0.74327,0.5327,0.60378,0.39019,1.14904,0.91129,1.03901,0.00604,0.00604,0.00604
42,6037.98,1.25204,1.11182,1.16368,0.76487,0.52332,0.60646,0.39059,1.14955,0.90877,1.04052,0.005941,0.005941,0.005941
43,6179.76,1.24875,1.1048,1.16051,0.76426,0.52243,0.60477,0.39074,1.15093,0.91634,1.03988,0.005842,0.005842,0.005842
44,6320.9,1.24799,1.10515,1.15867,0.76391,0.52733,0.6052,0.39119,1.15171,0.9145,1.04057,0.005743,0.005743,0.005743
45,6460.44,1.24731,1.09402,1.15735,0.75279,0.53373,0.60719,0.39203,1.15098,0.9055,1.03923,0.005644,0.005644,0.005644
46,6602.91,1.23866,1.10071,1.15668,0.76594,0.52868,0.60853,0.39263,1.14999,0.904,1.03926,0.005545,0.005545,0.005545
47,6744.53,1.24166,1.10195,1.1582,0.7568,0.53407,0.60796,0.39297,1.15069,0.90709,1.03949,0.005446,0.005446,0.005446
48,6887.24,1.23471,1.0934,1.1533,0.7508,0.53673,0.60976,0.39392,1.14939,0.90427,1.03959,0.005347,0.005347,0.005347
49,7027.32,1.227,1.08793,1.15196,0.74862,0.53818,0.60923,0.39472,1.14736,0.8992,1.03729,0.005248,0.005248,0.005248
50,7168.54,1.22809,1.08245,1.14989,0.75523,0.53921,0.61169,0.39577,1.14762,0.89459,1.03825,0.005149,0.005149,0.005149
51,7310.65,1.22129,1.07033,1.14656,0.74807,0.54004,0.61342,0.39675,1.14665,0.89423,1.03707,0.00505,0.00505,0.00505
52,7450.63,1.2201,1.07515,1.14548,0.75635,0.54062,0.61416,0.39727,1.14413,0.89419,1.03498,0.004951,0.004951,0.004951
53,7589.27,1.22087,1.08004,1.1487,0.76297,0.53453,0.61412,0.39801,1.14065,0.8914,1.03316,0.004852,0.004852,0.004852
54,7729.21,1.23555,1.07606,1.1496,0.76985,0.53168,0.61394,0.39863,1.13967,0.89014,1.03246,0.004753,0.004753,0.004753
55,7870.12,1.22383,1.06795,1.14492,0.77046,0.53242,0.61547,0.39845,1.1408,0.88825,1.03369,0.004654,0.004654,0.004654
56,8012.15,1.22333,1.07159,1.14528,0.75991,0.53856,0.61471,0.39872,1.13929,0.88648,1.03271,0.004555,0.004555,0.004555
57,8151.07,1.20768,1.06111,1.14117,0.76343,0.53695,0.61434,0.39901,1.13593,0.8855,1.03185,0.004456,0.004456,0.004456
52,200.257,1.21163,1.06162,1.1424,0.7535,0.54044,0.61444,0.39742,1.14499,0.89241,1.03513,0.004951,0.004951,0.004951
53,427.48,1.21879,1.07169,1.14583,0.7656,0.5369,0.61664,0.39811,1.14049,0.88851,1.03212,0.004852,0.004852,0.004852
54,694.1,1.2213,1.07459,1.14743,0.77178,0.53505,0.61513,0.39827,1.14014,0.88816,1.03305,0.004753,0.004753,0.004753
55,957.828,1.21464,1.06972,1.14547,0.77011,0.5348,0.61457,0.39863,1.13746,0.8874,1.03219,0.004654,0.004654,0.004654
56,1217.05,1.22253,1.07083,1.14343,0.75971,0.53805,0.61505,0.39891,1.13581,0.8863,1.03145,0.004555,0.004555,0.004555
57,1474.18,1.22208,1.07179,1.14468,0.76434,0.53656,0.61583,0.39932,1.13589,0.8844,1.03188,0.004456,0.004456,0.004456
58,1702.63,1.21162,1.05877,1.14069,0.76042,0.53831,0.6167,0.39975,1.13633,0.88424,1.03301,0.004357,0.004357,0.004357
59,1899.16,1.21594,1.05107,1.13916,0.75189,0.54226,0.61676,0.40002,1.13608,0.88204,1.03279,0.004258,0.004258,0.004258
60,2091.29,1.20716,1.05708,1.14131,0.7476,0.5436,0.6164,0.39952,1.13686,0.88185,1.03353,0.004159,0.004159,0.004159
61,2272.59,1.21167,1.0552,1.13803,0.75162,0.54156,0.6158,0.39932,1.13685,0.88078,1.03287,0.00406,0.00406,0.00406
62,2441.61,1.19817,1.04249,1.13197,0.75826,0.53923,0.61665,0.39891,1.13739,0.87972,1.03326,0.003961,0.003961,0.003961
63,2603.43,1.19149,1.03739,1.12934,0.75881,0.53766,0.61605,0.3993,1.13787,0.8785,1.03339,0.003862,0.003862,0.003862
64,2769.45,1.18704,1.03672,1.12808,0.75581,0.53855,0.61595,0.39878,1.13629,0.87706,1.03251,0.003763,0.003763,0.003763
65,2931.7,1.19353,1.03902,1.13242,0.75827,0.53814,0.6167,0.39893,1.1354,0.87693,1.03204,0.003664,0.003664,0.003664
66,3128.07,1.19317,1.03143,1.12786,0.75428,0.54015,0.61663,0.39931,1.13466,0.87586,1.03161,0.003565,0.003565,0.003565
67,3325.59,1.19874,1.03855,1.13172,0.7564,0.54104,0.61702,0.39942,1.13449,0.87579,1.03168,0.003466,0.003466,0.003466
68,3509.86,1.1897,1.03424,1.12572,0.75563,0.54147,0.6172,0.39997,1.13425,0.87553,1.03153,0.003367,0.003367,0.003367
69,3689.17,1.1844,1.02853,1.12732,0.76164,0.53876,0.61725,0.39995,1.13419,0.87468,1.03147,0.003268,0.003268,0.003268
70,3862.5,1.18681,1.02444,1.12577,0.75956,0.53981,0.61747,0.39999,1.13399,0.87366,1.03124,0.003169,0.003169,0.003169
71,4033.31,1.17908,1.01979,1.12387,0.75826,0.5404,0.61699,0.40015,1.13385,0.87237,1.03089,0.00307,0.00307,0.00307
72,4208.85,1.16871,1.01657,1.12224,0.7599,0.53981,0.61697,0.40061,1.13331,0.87196,1.03033,0.002971,0.002971,0.002971
73,4383.72,1.17688,1.01707,1.12081,0.76119,0.53929,0.61671,0.40053,1.13319,0.87217,1.03011,0.002872,0.002872,0.002872
74,4557.75,1.16871,1.01541,1.12017,0.76054,0.53978,0.61761,0.40093,1.1332,0.87215,1.02999,0.002773,0.002773,0.002773
75,4735.68,1.17599,1.01431,1.12403,0.75851,0.54066,0.61754,0.40116,1.13339,0.87117,1.03028,0.002674,0.002674,0.002674
76,4915.46,1.15655,0.99949,1.11429,0.76183,0.54003,0.61772,0.40109,1.13338,0.87077,1.02998,0.002575,0.002575,0.002575
77,5095.92,1.16987,1.00364,1.11363,0.76205,0.53946,0.618,0.40126,1.13308,0.87082,1.02971,0.002476,0.002476,0.002476
78,5277.88,1.17118,1.00408,1.11972,0.76007,0.54046,0.61763,0.40117,1.13252,0.87088,1.02901,0.002377,0.002377,0.002377
79,5454.81,1.14903,0.99124,1.11073,0.7656,0.53813,0.61786,0.40136,1.13205,0.87011,1.02889,0.002278,0.002278,0.002278
80,5626.08,1.17132,1.01039,1.11675,0.76514,0.53751,0.61799,0.40167,1.13184,0.86957,1.02861,0.002179,0.002179,0.002179
81,5803.16,1.15066,0.98658,1.11479,0.76531,0.53851,0.61888,0.40185,1.13125,0.8691,1.02826,0.00208,0.00208,0.00208
82,5966.73,1.16809,0.99826,1.11665,0.76686,0.53773,0.61893,0.40185,1.1313,0.86851,1.02824,0.001981,0.001981,0.001981
83,6132.08,1.16028,0.99365,1.11382,0.76491,0.53932,0.61882,0.40203,1.13102,0.86854,1.02816,0.001882,0.001882,0.001882
84,6304.11,1.16253,0.99435,1.1127,0.76549,0.53938,0.61913,0.40226,1.13116,0.86776,1.02814,0.001783,0.001783,0.001783
85,6468.14,1.15413,0.98198,1.10869,0.76471,0.53965,0.61949,0.40249,1.13067,0.86799,1.02768,0.001684,0.001684,0.001684
86,6638.24,1.14803,0.98101,1.10618,0.76267,0.54072,0.61949,0.40238,1.13023,0.86758,1.02716,0.001585,0.001585,0.001585
87,6809.76,1.13756,0.9743,1.1055,0.7614,0.54058,0.61956,0.40246,1.13038,0.86713,1.02709,0.001486,0.001486,0.001486
88,6982.8,1.14519,0.97556,1.10591,0.76301,0.54031,0.62029,0.40274,1.12995,0.86696,1.02696,0.001387,0.001387,0.001387
89,7151.68,1.13727,0.9642,1.10234,0.76312,0.54058,0.61985,0.4027,1.13014,0.86683,1.02715,0.001288,0.001288,0.001288
90,7320.06,1.14347,0.97087,1.10437,0.7633,0.541,0.6202,0.40285,1.1301,0.86659,1.02696,0.001189,0.001189,0.001189
91,7494.17,1.12405,0.91126,1.06615,0.76265,0.54055,0.62054,0.40315,1.12977,0.86552,1.02666,0.00109,0.00109,0.00109
92,7662.09,1.10699,0.8833,1.05913,0.76927,0.53803,0.62055,0.40361,1.1292,0.86472,1.02615,0.000991,0.000991,0.000991
93,7837.83,1.11037,0.88748,1.06,0.76966,0.53938,0.62096,0.40378,1.12877,0.86359,1.02579,0.000892,0.000892,0.000892
94,8006.7,1.10233,0.88463,1.05604,0.76596,0.54108,0.62087,0.40406,1.12792,0.86276,1.02539,0.000793,0.000793,0.000793
95,8173.16,1.10939,0.87766,1.05796,0.7663,0.54134,0.62088,0.40414,1.12766,0.86178,1.02536,0.000694,0.000694,0.000694
96,8339.91,1.09285,0.87063,1.05401,0.77271,0.53955,0.6214,0.40455,1.12701,0.86099,1.02505,0.000595,0.000595,0.000595
97,8508.15,1.0904,0.8593,1.0515,0.77479,0.53855,0.6216,0.40487,1.12648,0.86047,1.02475,0.000496,0.000496,0.000496
98,8678.76,1.08424,0.85442,1.04991,0.7734,0.54026,0.62247,0.40485,1.12669,0.85994,1.02488,0.000397,0.000397,0.000397
99,8850.28,1.08435,0.85498,1.0491,0.77624,0.53863,0.6227,0.40519,1.12618,0.85911,1.02462,0.000298,0.000298,0.000298
100,9023.73,1.08323,0.8502,1.04868,0.76992,0.54149,0.6229,0.40532,1.12561,0.85813,1.0243,0.000199,0.000199,0.000199
