epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,245.562,1.44685,2.35495,1.31474,0.58411,0.42238,0.45432,0.2708,1.35038,1.55938,1.13972,0.00332706,0.00332706,0.00332706
2,459.757,1.50454,1.78419,1.32116,0.64647,0.43866,0.48657,0.27645,1.41146,1.42731,1.18367,0.00659445,0.00659445,0.00659445
3,654.647,1.57568,1.7023,1.35673,0.55722,0.41014,0.42569,0.22766,1.5662,1.75696,1.30006,0.00979585,0.00979585,0.00979585
4,867.737,1.60924,1.67803,1.38599,0.63499,0.42969,0.4731,0.26535,1.46768,1.45726,1.24189,0.009703,0.009703,0.009703
5,1065.18,1.54892,1.56918,1.35295,0.65438,0.43065,0.48791,0.2787,1.4342,1.32976,1.22338,0.009604,0.009604,0.009604
6,1254.03,1.51757,1.5174,1.33438,0.65785,0.45623,0.49897,0.29815,1.39839,1.2835,1.19215,0.009505,0.009505,0.009505
7,1437.2,1.49326,1.48026,1.3134,0.6632,0.4478,0.50448,0.30139,1.38295,1.24007,1.17616,0.009406,0.009406,0.009406
8,1621.63,1.47509,1.445,1.30527,0.67445,0.44813,0.50826,0.30823,1.35225,1.22627,1.17097,0.009307,0.009307,0.009307
9,1805.02,1.437,1.41837,1.28641,0.6816,0.45629,0.51297,0.30921,1.3557,1.22339,1.15995,0.009208,0.009208,0.009208
10,1987.93,1.43585,1.39554,1.28197,0.6892,0.47331,0.53121,0.31965,1.35059,1.17788,1.16028,0.009109,0.009109,0.009109
11,2173.43,1.41744,1.37668,1.27072,0.68649,0.4798,0.53799,0.32583,1.33624,1.16504,1.1493,0.00901,0.00901,0.00901
12,2370.93,1.40661,1.36051,1.26322,0.68986,0.47426,0.5354,0.32829,1.32094,1.15987,1.14203,0.008911,0.008911,0.008911
13,2564.07,1.4118,1.35462,1.25633,0.6943,0.48743,0.54251,0.32939,1.30523,1.16225,1.12723,0.008812,0.008812,0.008812
14,2770.13,1.38845,1.34258,1.25196,0.68083,0.48564,0.54197,0.3359,1.28992,1.14146,1.11852,0.008713,0.008713,0.008713
15,2977.67,1.39276,1.33322,1.25205,0.69648,0.4796,0.53999,0.33397,1.29418,1.12141,1.11748,0.008614,0.008614,0.008614
16,3177.32,1.37357,1.31917,1.24072,0.71196,0.49648,0.55494,0.34137,1.27692,1.11758,1.10554,0.008515,0.008515,0.008515
17,3376.14,1.37275,1.2977,1.23728,0.71836,0.48893,0.55593,0.34408,1.27914,1.10076,1.10971,0.008416,0.008416,0.008416
18,3571.11,1.35774,1.29906,1.2301,0.714,0.49426,0.55782,0.34498,1.2687,1.0965,1.1122,0.008317,0.008317,0.008317
19,3775.42,1.36117,1.28228,1.22616,0.71056,0.4852,0.5546,0.34561,1.26095,1.08493,1.10544,0.008218,0.008218,0.008218
20,3969.87,1.35198,1.27739,1.22169,0.73972,0.48626,0.56297,0.35042,1.26079,1.07684,1.09348,0.008119,0.008119,0.008119
21,4173.99,1.35133,1.27329,1.22235,0.72676,0.49653,0.56542,0.35263,1.25396,1.06931,1.08628,0.00802,0.00802,0.00802
22,4382.62,1.34093,1.26946,1.21985,0.7196,0.49652,0.56564,0.35201,1.25515,1.05384,1.09483,0.007921,0.007921,0.007921
23,4582.57,1.34164,1.26401,1.21759,0.73095,0.49086,0.56551,0.35426,1.24642,1.05137,1.09128,0.007822,0.007822,0.007822
24,4776.71,1.33478,1.24677,1.21205,0.70917,0.49976,0.56631,0.35595,1.2399,1.0395,1.08662,0.007723,0.007723,0.007723
25,4972.5,1.33578,1.24721,1.21178,0.72162,0.49919,0.56426,0.354,1.23824,1.04345,1.08351,0.007624,0.007624,0.007624
26,5168.48,1.33572,1.24423,1.20577,0.71611,0.50355,0.57269,0.36054,1.22882,1.03896,1.07563,0.007525,0.007525,0.007525
27,5359.94,1.32327,1.23948,1.2022,0.71902,0.50468,0.5711,0.36125,1.22804,1.03859,1.07919,0.007426,0.007426,0.007426
28,5555.07,1.3174,1.22238,1.19801,0.72537,0.50093,0.57617,0.36482,1.21773,1.02139,1.07392,0.007327,0.007327,0.007327
29,5756.1,1.32353,1.2271,1.2018,0.72102,0.50339,0.57393,0.36224,1.2275,1.02104,1.08288,0.007228,0.007228,0.007228
30,5982.27,1.3135,1.21323,1.19038,0.73402,0.50788,0.57772,0.36498,1.21729,1.01322,1.06924,0.007129,0.007129,0.007129
31,6211.38,1.30439,1.21402,1.19515,0.71958,0.51093,0.57911,0.36635,1.21354,1.01573,1.06741,0.00703,0.00703,0.00703
32,6408.15,1.30852,1.20857,1.1878,0.73092,0.50978,0.5823,0.37114,1.20764,1.00773,1.06356,0.006931,0.006931,0.006931
33,6608.92,1.30718,1.20651,1.18991,0.73616,0.50813,0.58375,0.37073,1.20712,1.00438,1.06242,0.006832,0.006832,0.006832
34,6809.4,1.28746,1.19091,1.18623,0.73398,0.51075,0.58195,0.36973,1.21183,0.99928,1.06521,0.006733,0.006733,0.006733
35,7015.05,1.29082,1.19491,1.18365,0.73164,0.51226,0.58253,0.36911,1.2085,1.00343,1.06182,0.006634,0.006634,0.006634
36,7224.75,1.29902,1.19706,1.1842,0.72569,0.51377,0.58286,0.37096,1.20436,0.99275,1.06027,0.006535,0.006535,0.006535
37,7433.34,1.29263,1.19096,1.18372,0.73217,0.51146,0.58337,0.37012,1.21211,0.98962,1.06329,0.006436,0.006436,0.006436
38,7629.65,1.28779,1.18539,1.17945,0.73425,0.50983,0.58364,0.3733,1.20202,0.98481,1.05738,0.006337,0.006337,0.006337
39,7816.99,1.29414,1.1871,1.17714,0.73007,0.51412,0.58418,0.37365,1.19974,0.9845,1.05629,0.006238,0.006238,0.006238
40,8001.24,1.28986,1.18346,1.18036,0.735,0.50962,0.58399,0.37352,1.19809,0.98312,1.05544,0.006139,0.006139,0.006139
41,8184.62,1.27578,1.18486,1.17629,0.74152,0.51168,0.58718,0.37524,1.19929,0.9821,1.05681,0.00604,0.00604,0.00604
42,8374.31,1.27821,1.16613,1.17455,0.74933,0.50987,0.5887,0.3754,1.19479,0.97969,1.05427,0.005941,0.005941,0.005941
43,8561.94,1.27719,1.17376,1.17576,0.74781,0.51143,0.58806,0.37585,1.19563,0.98139,1.05347,0.005842,0.005842,0.005842
44,8749.43,1.28087,1.1672,1.17332,0.73876,0.51645,0.58884,0.37719,1.1911,0.97919,1.05137,0.005743,0.005743,0.005743
45,8934.43,1.27743,1.17021,1.1711,0.7447,0.51573,0.58962,0.37777,1.18924,0.97547,1.05214,0.005644,0.005644,0.005644
46,9124.93,1.27505,1.15666,1.17225,0.73381,0.52218,0.58995,0.37772,1.18538,0.97202,1.04973,0.005545,0.005545,0.005545
47,9334.17,1.25571,1.14688,1.1628,0.73353,0.52053,0.59046,0.37797,1.18568,0.96967,1.05065,0.005446,0.005446,0.005446
48,9566.26,1.27065,1.14855,1.16748,0.74132,0.51682,0.59093,0.37888,1.18354,0.96667,1.04816,0.005347,0.005347,0.005347
49,9778.41,1.26205,1.14952,1.1642,0.74041,0.51696,0.59156,0.37997,1.18323,0.96438,1.0486,0.005248,0.005248,0.005248
50,9989.09,1.2665,1.13881,1.16068,0.74553,0.51693,0.59279,0.38094,1.18193,0.96331,1.04756,0.005149,0.005149,0.005149
51,10194.2,1.26639,1.14997,1.16321,0.74663,0.51768,0.59352,0.38153,1.18065,0.96204,1.04717,0.00505,0.00505,0.00505
52,10390.4,1.25541,1.14117,1.15679,0.75207,0.51777,0.5946,0.38149,1.18096,0.96071,1.04708,0.004951,0.004951,0.004951
53,10612.1,1.25094,1.12865,1.15447,0.74771,0.51674,0.59335,0.38099,1.18101,0.96032,1.04696,0.004852,0.004852,0.004852
54,10828.9,1.25357,1.13235,1.15623,0.75041,0.51543,0.59414,0.38157,1.18002,0.95943,1.04649,0.004753,0.004753,0.004753
55,11029.4,1.25849,1.13634,1.15455,0.74731,0.51745,0.59498,0.38154,1.17931,0.95946,1.04578,0.004654,0.004654,0.004654
56,11243.6,1.25402,1.12197,1.15527,0.74427,0.51937,0.59549,0.38222,1.17825,0.95747,1.04499,0.004555,0.004555,0.004555
57,11447.3,1.24355,1.12004,1.15315,0.75133,0.51651,0.59493,0.38221,1.17776,0.95664,1.04447,0.004456,0.004456,0.004456
58,11659.3,1.24943,1.13383,1.15607,0.74892,0.51921,0.59521,0.38259,1.17725,0.95536,1.0437,0.004357,0.004357,0.004357
59,11879.1,1.24758,1.12904,1.15233,0.74877,0.51953,0.59582,0.38285,1.17697,0.95454,1.04305,0.004258,0.004258,0.004258
60,12147.5,1.23359,1.11628,1.14722,0.75007,0.51927,0.59669,0.3834,1.17682,0.95395,1.04329,0.004159,0.004159,0.004159
61,12380.3,1.2406,1.11685,1.15027,0.75234,0.51868,0.59751,0.38406,1.17696,0.95338,1.04314,0.00406,0.00406,0.00406
62,12581.7,1.24366,1.11999,1.15262,0.75052,0.52171,0.59783,0.38405,1.17649,0.9528,1.04307,0.003961,0.003961,0.003961
63,12778.8,1.22669,1.10574,1.14284,0.75203,0.52074,0.59842,0.38418,1.17611,0.95234,1.04287,0.003862,0.003862,0.003862
64,12978.4,1.23655,1.1084,1.14802,0.7517,0.52229,0.59915,0.38462,1.17582,0.95249,1.04251,0.003763,0.003763,0.003763
65,13205.2,1.23769,1.10745,1.14579,0.75164,0.52366,0.59975,0.38498,1.17543,0.95182,1.04231,0.003664,0.003664,0.003664
66,13416.3,1.22694,1.09925,1.14223,0.74964,0.52401,0.60004,0.38504,1.17517,0.95117,1.04206,0.003565,0.003565,0.003565
67,13610.5,1.23313,1.10552,1.14346,0.74863,0.52415,0.59963,0.38536,1.17473,0.95035,1.04203,0.003466,0.003466,0.003466
68,218.354,1.21651,1.0885,1.14032,0.74783,0.52527,0.60015,0.38548,1.18019,0.97046,1.04535,0.003367,0.003367,0.003367
69,405.359,1.21809,1.09514,1.14211,0.74675,0.52543,0.60023,0.38532,1.1796,0.97037,1.04501,0.003268,0.003268,0.003268
70,590.176,1.22453,1.08956,1.14198,0.74863,0.52454,0.60048,0.3854,1.17957,0.96996,1.04495,0.003169,0.003169,0.003169
71,774.514,1.2175,1.09825,1.13917,0.74896,0.52509,0.60087,0.38572,1.17916,0.96966,1.04475,0.00307,0.00307,0.00307
72,967.497,1.21522,1.0855,1.13671,0.74902,0.52552,0.60093,0.38575,1.17909,0.96909,1.04456,0.002971,0.002971,0.002971
73,1150.73,1.22318,1.08763,1.1369,0.74973,0.52511,0.60081,0.38588,1.1793,0.96864,1.04456,0.002872,0.002872,0.002872
74,1335.91,1.22481,1.088,1.13667,0.75191,0.52473,0.60095,0.38612,1.17882,0.96779,1.04413,0.002773,0.002773,0.002773
75,1518.56,1.22151,1.08168,1.13938,0.75161,0.52471,0.60023,0.38596,1.17868,0.96762,1.04383,0.002674,0.002674,0.002674
76,1700.27,1.19811,1.07422,1.13042,0.75095,0.52451,0.60094,0.38641,1.1784,0.96694,1.04362,0.002575,0.002575,0.002575
77,1883.73,1.20621,1.07583,1.13221,0.74931,0.52484,0.60091,0.38653,1.17837,0.96677,1.04353,0.002476,0.002476,0.002476
